T01-A-1	T01-C-1	T57-B-2	T62-E-2	T59-A-1	T64-E-2	T53-C-1	T17-E-2
-2.55	-3.04	7.47	20.33	13.00	20.98	20.29	18.79
-2.63	-3.48	7.44	20.35	13.01	20.96	20.31	18.78
-2.86	-3.63	7.49	20.35	13.02	20.98	20.31	18.79
-2.96	-3.81	7.47	20.33	13.01	20.96	20.32	18.78
-2.89	-3.92	7.51	20.35	13.01	21.00	20.32	18.82
-2.82	-4.02	7.53	20.33	13.00	20.95	20.29	18.78
-2.90	-4.33	7.59	20.33	13.03	20.95	20.30	18.77
-3.09	-4.25	7.50	20.35	13.03	20.98	20.30	18.82
-3.26	-4.58	7.52	20.33	12.99	20.94	20.26	18.78
-2.80	-4.50	7.53	20.34	13.00	20.97	20.28	18.79
-2.32	-4.11	7.56	20.34	13.04	20.95	20.30	18.77
-1.63	-2.71	7.55	20.34	13.02	20.96	20.30	18.78
-1.12	-2.59	7.56	20.36	13.02	20.99	20.32	18.82
-0.81	-2.09	10.64	21.45	13.02	19.61	20.30	18.04
-0.67	-2.30	7.51	20.35	13.01	20.97	20.34	18.83
-0.72	-2.73	7.54	20.33	13.01	20.98	20.27	18.81
-1.11	-2.96	7.51	20.37	13.01	21.00	20.31	18.86
-1.44	-2.75	7.51	20.32	13.04	20.98	20.32	18.80
-1.76	-2.87	7.47	20.35	13.02	20.97	20.29	18.82
-1.97	-3.03	7.51	20.35	13.02	20.98	20.30	18.83
-2.29	-3.20	7.45	20.35	13.00	20.99	20.28	18.81
-2.43	-3.32	7.46	20.35	13.01	21.01	20.27	18.78
-2.63	-3.49	7.46	20.37	13.01	21.00	20.31	18.78
-2.80	-3.58	7.47	20.35	13.01	21.01	20.29	18.75
-2.94	-3.70	7.43	20.34	13.00	20.97	20.33	18.76
-3.12	-3.92	7.44	20.35	12.98	21.02	20.30	18.77
-3.32	-4.28	7.48	20.37	13.02	21.01	20.32	18.76
-3.65	-4.50	7.44	20.36	13.01	21.03	20.32	18.74
-3.70	-5.04	7.47	20.32	13.01	21.00	20.31	18.73
-3.91	-5.48	7.51	20.36	13.01	21.05	20.32	18.74
-4.30	-5.92	7.51	20.36	13.03	21.03	20.33	18.69
-4.78	-6.03	7.53	20.35	13.00	21.03	20.31	18.69
-4.80	-6.27	7.47	20.35	13.01	21.06	20.34	18.67
-4.17	-6.47	7.47	20.35	12.98	21.03	20.33	18.63
-3.02	-5.09	7.59	20.34	13.00	21.05	20.32	18.63
-1.85	-3.81	7.59	20.35	13.02	21.06	20.34	18.67
-0.90	-3.21	7.57	20.34	13.01	21.06	20.33	18.66
-0.34	-3.22	7.62	20.36	13.01	21.08	20.35	18.69
-0.12	-4.16	7.57	20.36	13.00	21.07	20.33	18.70
-0.36	-4.31	7.49	20.35	12.97	21.06	20.33	18.70
-0.85	-4.63	7.46	20.33	13.01	21.07	20.35	18.70
-1.42	-4.70	7.42	20.36	13.01	21.10	20.35	18.72
-1.81	-5.22	7.45	20.36	12.99	21.10	20.34	18.70
-2.17	-5.36	7.39	20.36	12.98	21.11	20.32	18.71
-2.51	-5.51	7.39	20.38	12.98	21.11	20.33	18.70
-2.85	-5.45	7.33	20.38	13.00	21.09	20.33	18.67
-3.18	-5.59	7.30	20.36	12.99	21.10	20.35	18.68
-3.50	-5.82	7.32	20.37	13.00	21.14	20.34	18.67
-3.68	-6.09	7.30	20.35	13.00	21.08	20.33	18.66
-3.99	-6.20	7.27	20.32	12.97	21.11	20.33	18.63
